LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000002,2013-05-03,0.126,0.1689374979,1.1059999,48,0.159818822,8.1089999,0.075
MAC000002,2013-05-04,0.1485,0.1948125,0.917,48,0.1447644685,9.351,0.073
MAC000002,2013-05-05,0.129,0.183875,0.94,48,0.1570111292,8.826,0.075
MAC000002,2013-05-06,0.1305,0.1545416667,0.753,48,0.1040525559,7.418,0.075
MAC000002,2013-05-07,0.129,0.1584791667,1.005,48,0.136094615,7.607,0.074
MAC000002,2013-05-08,0.137,0.1786666667,0.617,48,0.1168487535,8.576,0.073
MAC000002,2013-05-09,0.128,0.1748125,1.166,48,0.1698320392,8.391,0.073
MAC000002,2013-05-10,0.182,0.2563333354,1.398,48,0.2686821615,12.3040001,0.074
MAC000002,2013-05-11,0.184,0.2106458333,1.092,48,0.1630901708,10.111,0.073
MAC000002,2013-05-12,0.194,0.2584375,0.857,48,0.1865284082,12.405,0.069
MAC000002,2013-05-13,0.1275,0.1716666688,1.0700001,48,0.1597641111,8.2400001,0.075
MAC000002,2013-05-14,0.1595,0.2031666667,0.752,48,0.140097585,9.752,0.073
MAC000002,2013-05-15,0.1285,0.17375,0.631,48,0.120112093,8.34,0.074
MAC000002,2013-05-16,0.139,0.1919583333,0.827,48,0.1410380903,9.214,0.073
MAC000002,2013-05-17,0.1315,0.2007916667,1.068,48,0.1816845476,9.638,0.068
MAC000002,2013-05-18,0.159,0.202375,0.688,48,0.1366356586,9.714,0.073
MAC000002,2013-05-19,0.164,0.2238958333,1.071,48,0.1879678831,10.747,0.099
MAC000002,2013-05-20,0.149,0.1949166667,0.891,48,0.1572845143,9.356,0.074
MAC000002,2013-05-21,0.156,0.2270625,1.141,48,0.1866259664,10.899,0.073
MAC000002,2013-05-22,0.1475,0.2185833333,1.232,48,0.2011020524,10.492,0.077
MAC000002,2013-05-23,0.143,0.1963125,1.054,48,0.1689983201,9.423,0.075
MAC000002,2013-05-24,0.154,0.2154583333,0.935,48,0.1799728063,10.342,0.074
MAC000002,2013-05-25,0.1655,0.1945625,1.05,48,0.1461096799,9.339,0.075
MAC000002,2013-05-26,0.175,0.2482708333,1.12,48,0.2094628124,11.917,0.079
MAC000002,2013-05-27,0.156,0.2325208333,0.913,48,0.191458455,11.161,0.078
MAC000002,2013-05-28,0.145,0.2537916667,1.391,48,0.2592800965,12.182,0.074
MAC000002,2013-05-29,0.1585,0.2312291667,0.78,48,0.1861330158,11.099,0.073
MAC000002,2013-05-30,0.155,0.2381458333,1.322,48,0.2458227167,11.431,0.073
MAC000002,2013-05-31,0.135,0.210375,0.997,48,0.1724509952,10.098,0.073
MAC000002,2013-06-01,0.214,0.2615625,1.051,48,0.1949393693,12.555,0.074
MAC000002,2013-06-02,0.178,0.2517083333,0.998,48,0.1947314527,12.082,0.075
MAC000002,2013-06-03,0.1275,0.2227916667,1.513,48,0.2528523207,10.694,0.071
MAC000002,2013-06-04,0.141,0.2305208333,1.247,48,0.2363218135,11.065,0.074
MAC000002,2013-06-05,0.15,0.2004166667,0.983,48,0.1718133368,9.62,0.079
MAC000002,2013-06-06,0.144,0.1946458333,0.662,48,0.1413109578,9.343,0.077
MAC000002,2013-06-07,0.162,0.2479166667,1.095,48,0.2432065783,11.9,0.077
MAC000002,2013-06-08,0.158,0.1999583333,0.946,48,0.1436132452,9.598,0.075
MAC000002,2013-06-09,0.1575,0.192375,0.603,48,0.1290328385,9.234,0.075
MAC000002,2013-06-10,0.134,0.1716666667,0.731,48,0.1180644132,8.24,0.073
MAC000002,2013-06-11,0.134,0.1941875,1.029,48,0.1551041731,9.321,0.072
MAC000002,2013-06-12,0.147,0.1953125,0.989,48,0.1521080462,9.375,0.075
MAC000002,2013-06-13,0.135,0.1797708333,0.873,48,0.151710424,8.629,0.076
MAC000002,2013-06-14,0.145,0.1825208333,0.856,48,0.1336939964,8.761,0.073
MAC000002,2013-06-15,0.2145,0.2891875,0.89,48,0.2187412399,13.881,0.076
MAC000002,2013-06-16,0.158,0.2420833333,1,48,0.2155860724,11.62,0.08
MAC000002,2013-06-17,0.185,0.2552708333,0.887,48,0.203428145,12.253,0.084
MAC000002,2013-06-18,0.145,0.2112083333,1.148,48,0.1789420396,10.138,0.079
MAC000002,2013-06-19,0.1805,0.2347916667,0.816,48,0.1657344657,11.27,0.088
MAC000002,2013-06-20,0.1365,0.1816041667,0.986,48,0.1450678109,8.717,0.084
MAC000002,2013-06-21,0.147,0.2239166667,0.961,48,0.2065405873,10.748,0.08
MAC000002,2013-06-22,0.1485,0.1704583333,0.84,48,0.1184755937,8.182,0.076
MAC000002,2013-06-23,0.1865,0.2324375,0.974,48,0.1658239141,11.157,0.075
MAC000002,2013-06-24,0.123,0.1593958333,0.894,48,0.1360166979,7.651,0.075
MAC000002,2013-06-25,0.166,0.1959166667,0.808,48,0.1349444067,9.404,0.079
MAC000002,2013-06-26,0.137,0.1845208333,0.677,48,0.1272298957,8.857,0.077
MAC000002,2013-06-27,0.132,0.1810416667,0.931,48,0.1510530354,8.69,0.078
MAC000002,2013-06-28,0.135,0.2175208333,0.918,48,0.1786884832,10.441,0.076
MAC000002,2013-06-29,0.152,0.1856458333,0.887,48,0.130595769,8.911,0.075
MAC000002,2013-06-30,0.126,0.1582083333,0.913,48,0.1278797571,7.594,0.087
MAC000002,2013-07-01,0.132,0.162625,1.007,48,0.1453562937,7.806,0.077
MAC000002,2013-07-02,0.1365,0.186625,0.839,48,0.1481597219,8.958,0.079
MAC000002,2013-07-03,0.138,0.1970416646,1.1289999,48,0.1855176616,9.4579999,0.084
MAC000002,2013-07-04,0.156,0.1952083333,0.982,48,0.1540354972,9.37,0.082
MAC000002,2013-07-05,0.1605,0.190375,0.957,48,0.1497789328,9.138,0.079
MAC000002,2013-07-06,0.144,0.1965625,0.991,48,0.1627974732,9.435,0.076
MAC000002,2013-07-07,0.14,0.2210416667,1.122,48,0.2195628111,10.61,0.079
MAC000002,2013-07-08,0.1195,0.1542708333,0.98,48,0.1452372585,7.405,0.069
MAC000002,2013-07-09,0.106,0.1081666667,0.186,48,0.0243304671,5.192,0.071
MAC000002,2013-07-10,0.11,0.1118333333,0.192,48,0.0253891695,5.368,0.073
MAC000002,2013-07-11,0.1095,0.1259583333,0.425,48,0.0652817,6.046,0.071
MAC000002,2013-07-12,0.105,0.1040625,0.157,48,0.0200174458,4.995,0.071
MAC000002,2013-07-13,0.1675,0.2412708333,1.179,48,0.1990340225,11.581,0.076
MAC000002,2013-07-14,0.2105,0.2699375,1.017,48,0.2107568334,12.957,0.088
MAC000002,2013-07-15,0.1295,0.15325,0.699,48,0.1034363819,7.356,0.088
MAC000002,2013-07-16,0.1565,0.2236875,0.959,48,0.1797899669,10.737,0.084
MAC000002,2013-07-17,0.1385,0.1951458333,1.546,48,0.2192738489,9.367,0.083
MAC000002,2013-07-18,0.1855,0.2420833333,0.973,48,0.1837026776,11.62,0.087
MAC000002,2013-07-19,0.142,0.1773125,0.853,48,0.1397741577,8.511,0.084
MAC000002,2013-07-20,0.149,0.1946666667,0.902,48,0.1595672783,9.344,0.086
MAC000002,2013-07-21,0.146,0.185875,1.068,48,0.1591893861,8.922,0.093
MAC000002,2013-07-22,0.142,0.1711666667,0.784,48,0.1190081945,8.216,0.081
MAC000002,2013-07-23,0.1615,0.1984791667,0.639,48,0.1259515256,9.527,0.087
MAC000002,2013-07-24,0.147,0.1721875,0.78,48,0.1140786694,8.265,0.072
MAC000002,2013-07-25,0.1535,0.2024375,0.828,48,0.1661383564,9.717,0.081
MAC000002,2013-07-26,0.1715,0.211375,1.006,48,0.1540250912,10.146,0.088
MAC000002,2013-07-27,0.152,0.1839791667,0.843,48,0.1268652308,8.831,0.095
MAC000002,2013-07-28,0.146,0.169875,0.96,48,0.130579661,8.154,0.085
MAC000002,2013-07-29,0.141,0.1412708333,0.41,48,0.0592530597,6.781,0.075
MAC000002,2013-07-30,0.1465,0.1842291667,1.033,48,0.1606175899,8.843,0.087
MAC000002,2013-07-31,0.1445,0.1769791667,0.737,48,0.1190641682,8.495,0.086
MAC000002,2013-08-01,0.1375,0.165,0.928,48,0.1309245357,7.92,0.077
MAC000002,2013-08-02,0.1495,0.1843125,0.872,48,0.1227883764,8.847,0.081
MAC000002,2013-08-03,0.1415,0.161375,0.809,48,0.1170507482,7.746,0.077
MAC000002,2013-08-04,0.1435,0.1892708333,1.049,48,0.164514468,9.085,0.077
MAC000002,2013-08-05,0.155,0.19925,0.923,48,0.155795761,9.564,0.083
MAC000002,2013-08-06,0.1465,0.1821875,0.89,48,0.1338549002,8.745,0.08
MAC000002,2013-08-07,0.142,0.183,0.793,48,0.1295737693,8.784,0.077
MAC000002,2013-08-08,0.1375,0.1729791667,0.915,48,0.1395897469,8.303,0.083
MAC000002,2013-08-09,0.1535,0.1954375,1.266,48,0.1847964845,9.381,0.075
MAC000002,2013-08-10,0.149,0.178375,0.802,48,0.1215046843,8.562,0.094
MAC000002,2013-08-11,0.1455,0.1784791667,0.853,48,0.1270262143,8.567,0.095
